ds_sale_price_formula,ds_purchase_price_formula,ds_material_alias,vl_quantity_sell,vl_unit_price_sell,cd_alias_language,cd_product_id,lower(ds_category_en),lower(ds_record_type_name)
"","","Cast aluminium, old",1.00,0.890000,en,18014,aluminium,retail
"","",Class 3 circuit boards,3.30,1.920000,en,18045,pcbs,retail
"","","Copper, miscellaneous, low-grade, old",17.30,3.950000,en,18024,copper,retail
"","",Class 3 circuit boards,10.00,1.920000,en,18045,pcbs,retail
"","","Bright copper, no 1, Millberry",49.10,4.780000,en,18025,copper,retail
"","",Hartmetall Bohrer und Fräser,16.00,13.600000,de,18019,tungsten carbide,retail
"","","Copper, miscellaneous, low-grade, old",15.50,4.440000,en,18024,copper,retail
"","",Hartmetall Bohrer und Fräser,14.80,13.160000,de,18019,tungsten carbide,retail
"","","Bright copper, no 2, sparkplugs",1.60,4.470000,en,18023,copper,retail
"","",Hartmetall Bohrer und Fräser,12.70,13.120000,de,18019,tungsten carbide,retail
"","","Brass, miscellaneous",0.80,2.630000,en,18036,yellow brass,retail
"","",Copper cable with plug,0.30,0.900000,en,18029,cables,retail
"","","Copper Cable, min. 38% Cu",0.60,1.470000,en,18028,cables,retail
"","","Copper Cable, min. 38% Cu",11.00,1.450000,en,18028,cables,retail
"","","Heavy copper, berry min. 98% Cu",61.50,4.310000,en,18022,copper,retail
"","","Aluminium rims, contaminated",6.60,0.990000,en,18012,aluminium,retail
"","","Copper, miscellaneous, low-grade, old",4.60,3.620000,en,18024,copper,retail
"","","Tungsten carbide, miscellaneous",20.60,9.890000,en,18020,tungsten carbide,retail
"","",Brass cartridges,9.50,2.907767,en,18034,yellow brass,retail
"","",Class 3 circuit boards,0.70,4.660000,en,18045,pcbs,retail
"","",Aluminium cans,7.00,0.410000,en,17966,aluminium,retail
"","","Copper Cable, min. 70% Cu",18.80,2.750000,en,18031,cables,retail
"","","Copper, miscellaneous, low-grade, old",332.00,4.470000,en,18024,copper,retail
"","",Hartmetall Bohrer und Fräser,1.50,13.156075,de,18019,tungsten carbide,retail
"","","Copper Cable, min. 38% Cu",133.00,1.470000,en,18028,cables,retail
"","",Hartmetall Wendeschneidplatten,0.50,12.700000,de,18017,tungsten carbide,retail
"","","Copper Cable, min. 38% Cu",9.20,1.410000,en,18028,cables,retail
"","","Zinc, old",20.40,1.590405,en,18073,zinc,retail
"","","E1 - iron and steel, miscellaneous scrap",328.00,0.080000,en,18060,iron and steel,retail
"","","Stainless steel, V2a, nirosta, niro",27.00,0.820000,en,18037,stainless steel,retail
