fk_material_alias,lower(txt_price_formula)
a0g9N0000000CbsQAE,not applicable - correction
a0g09000001F4qHAAS,lme -20 €/t
a0g09000001F4sZAAS,fixed price
a0g09000001F4sZAAS,fixpreis
a0g09000001F4rqAAC,fixpreis
a0g09000001F4rqAAC,fixpreis
a0g09000001F4swAAC,sn lme x sn gehalt - 2.600
a0g09000001F4swAAC,sn lme x sn gehalt - 1.500
a0g09000001FmIxAAK,lme - 155 eur/mt
a0g09000001FmJ2AAK,lme + 60 eur/mt
a0g09000001F4qlAAC,1340eu/mt
a0g09000001F4qlAAC,1500€/mt
a0g09000001F4vuAAC,1175 euro/to
a0g09000001F4vuAAC,1175 euro/to
a0g09000001F4y4AAC,99% lme
a0g9N0000000KHsQAM,910
a0g9N0000001rxqQAA,lme - 420 eur/mt
a0g9N0000001rxqQAA,cu-lme l.o.t.f - 290€ * (cu+sn)-content
a0g9N0000000BTmQAM,2127.78
a0g9N0000002n5RQAQ,lme+365 usd
a0g9N0000002n5RQAQ,lme+440usd
a0g9N0000000WLuQAM,1800 €/t
a0g9N0000000685QAA,lme +80
a0g09000001F4rJAAS,1530€/mt
a0g09000001F4rJAAS,1530€/mt
a0g09000001FmIsAAK,lme + 100 eur/mt
a0g09000001F4xWAAS,1 980
a0g09000001F4qnAAC,lme - 15 eur/mt
a0g09000001F4tpAAC,lme - 200 eur/mt
a0g09000001F4u5AAC,lme - 435 eur/mt
a0g09000001F4pIAAS,"lme x 0,93"
a0g9N0000002nDpQAI,lme -200
a0g9N00000024GXQAY,lme -100€/mt
a0g09000001F4raAAC,fixpreis
a0g09000001F4raAAC,fixpreis
a0g09000001F4vjAAC,286€/mt
a0g09000001F4vjAAC,362€/mt
a0g09000001F4vjAAC,296€/mt
a0g9N0000000fmfQAA,avg. lme cash previous month to delivery + 65€/mt
a0g09000001F4twAAC,"(lme - 420) * 0,97"
a0g9N0000002fpqQAA,"(lme-460)*0,86"
a0g09000001F4tjAAC,auf auswertung
a0g9N00000024GXQAY,lme -85€/mt
a0g09000001F4qIAAS,lme +50
a0g09000001F4qjAAC,lme -100
a0g09000001FmIxAAK,lme + 30 eur/mt
a0g09000001FmIxAAK,lme + 90 eur/mt
a0g09000001F4suAAC,lme - 100
a0g09000001F4utAAC,4 710
